@RELATION hs

@ATTRIBUTE sequence     string
@ATTRIBUTE incoming     NUMERIC
@ATTRIBUTE outgoing     NUMERIC
@ATTRIBUTE lifetime     NUMERIC
@ATTRIBUTE class        {HS-RP,Client-RP,noise}
@ATTRIBUTE inc_50     NUMERIC
@ATTRIBUTE out_50     NUMERIC
@DATA
-1+1-1+1+1-1+1-1+1-1+1,2637,182,252.321877956,noise,41,9
-1+1-1-1+1-1-1+1-1-1+1+1-1-1+1,3988,333,607.765151024,noise,41,9
-1+1-1+1+1-1+1-1+1-1-1+1+1,27849,1115,1029.13260794,noise,41,9
-1+1-1+1-1-1+1+1-1+1+1-1+1,3810,215,272.092133999,noise,41,9
-1+1+1-1+1-1+1-1-1+1-1+1+1,4848,405,1068.8675108,noise,42,8
-1+1-1-1+1-1+1+1-1+1-1+1,199038,6237,334.329457045,noise,45,5
-1+1-1-1-1+1-1+1-1+1+1-1+1,20268,1634,621.549139977,noise,41,9
-1+1-1-1+1-1+1-1-1+1-1+1,29804,2003,1149.65619993,noise,40,10
-1+1-1-1+1-1+1-1+1+1-1+1,30494,2502,676.161000967,noise,41,9
-1+1+1-1+1-1+1+1+1-1+1-1-1+1,68738,2872,601.602319002,noise,42,8
-1+1-1-1+1-1-1+1-1+1+1-1-1+1,1505,124,1292.060817,noise,41,9
-1+1-1+1+1-1+1-1+1+1-1+1,24591,1467,540.223214149,noise,35,15
-1+1-1+1-1-1+1-1-1+1+1-1+1+1,16401,1617,515.652789831,noise,37,13
-1+1-1+1-1+1-1+1-1+1,37300,1821,298.561135054,noise,39,11
-1+1-1+1-1+1+1-1+1-1+1+1,269142,8109,1245.98122096,noise,38,12
-1+1-1+1+1-1+1-1+1,4,5,64.2411921024,noise,4,5
-1+1+1-1+1-1-1+1-1-1+1-1-1+1,496,49,73.3341109753,noise,33,17
-1+1-1+1-1+1-1+1-1+1+1+1,37220,2625,804.068572998,noise,41,9
-1+1+1-1-1+1-1+1-1-1+1-1+1-1,790,47,714.994045973,noise,45,5
-1+1-1-1+1+1-1+1-1+1+1+1-1+1-1,2470,231,1103.8218379,noise,45,5
-1+1-1+1-1-1+1-1-1+1-1-1+1,27158,1984,532.605782032,noise,42,8
-1+1-1+1-1+1-1+1+1-1+1,32572,1360,539.42406106,noise,41,9
-1+1-1+1+1-1+1-1+1+1-1+1+1-1,77554,2823,509.670453072,noise,41,9
-1+1-1-1+1-1-1+1-1+1-1-1+1,9697,644,941.510653973,noise,32,18
-1+1-1+1-1-1+1-1+1-1+1-1,8757,450,239.136593819,noise,41,9
-1+1-1-1+1-1+1-1+1-1+1-1,61741,2658,812.610817194,noise,45,5
-1+1-1+1-1-1-1+1-1-1+1-1-1+1-1,149,23,117.210237026,noise,42,8
-1+1-1-1+1+1-1-1+1-1+1-1+1+1,17395,1053,291.81197691,noise,40,10
-1+1-1+1-1+1+1-1+1-1+1,34643,1858,630.783236027,noise,41,9
-1+1-1+1-1+1-1-1+1-1-1+1,56679,2883,691.309821844,noise,42,8
-1+1-1+1-1-1-1+1-1+1-1-1+1+1,46964,1936,1710.5302639,noise,28,22
-1+1-1-1+1-1+1-1+1-1+1,28574,1906,1231.49048901,noise,41,9
-1+1-1+1-1+1-1+1-1+1+1,22542,1363,853.419898987,noise,41,9
-1+1+1-1+1-1+1-1+1+1+1-1+1,57565,2444,862.015208006,noise,41,9
-1+1-1+1-1-1+1-1-1+1+1-1+1+1+1,5672,436,229.225641012,noise,41,9
-1+1-1-1+1-1-1+1+1-1-1+1+1-1+1+1-1,664,53,626.243979931,noise,41,9
-1+1-1-1+1-1+1+1-1-1+1+1-1+1,13966,976,739.232743025,noise,45,5
-1+1-1-1+1-1-1+1-1+1+1-1+1+1,2477,154,78.1622149944,noise,45,5
-1+1-1+1+1-1+1+1+1-1+1+1-1+1,6520,388,491.154820919,noise,45,5
-1+1-1+1-1+1+1-1+1-1-1+1,3149,141,170.783121109,noise,41,9
-1+1-1+1-1+1+1-1-1+1-1-1+1-1,77007,2810,543.915651083,noise,41,9
-1+1+1-1+1+1-1+1-1-1+1-1+1+1-1,40709,2004,746.380396843,noise,27,23
-1+1-1-1+1-1-1+1-1+1-1+1,106364,3844,1057.55573916,noise,41,9
-1+1-1+1-1+1-1+1-1+1,316,34,280.270928144,noise,44,6
-1+1-1-1+1-1+1+1-1+1-1+1-1,26184,1572,480.396267176,noise,42,8
-1+1-1+1-1+1+1-1+1-1+1+1,42568,2131,884.626863003,noise,41,9
-1+1-1+1-1+1+1-1-1+1-1+1,50278,2589,875.283859968,noise,45,5
