@RELATION hs

@ATTRIBUTE sequence     string
@ATTRIBUTE incoming     NUMERIC
@ATTRIBUTE outgoing     NUMERIC
@ATTRIBUTE lifetime     NUMERIC
@ATTRIBUTE class        {HS-RP,Client-RP,noise}
@ATTRIBUTE inc_50     NUMERIC
@ATTRIBUTE out_50     NUMERIC
@DATA
 -1+1-1+1-1+1-1+1+1+1,19785,1506,639.207095861,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,48480,2450,618.918194056,noise,39,11
 -1+1-1+1-1+1-1+1+1+1,20571,1578,1211.06830311,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,32352,1862,636.474534035,noise,45,5
 -1+1-1+1-1+1-1+1-1+1,46632,2459,644.090309143,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,6413,613,491.417878151,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,4068,324,568.642430067,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,14556,1020,771.188820124,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,11218,640,3181.90308309,noise,43,7
 -1+1-1+1-1+1-1+1-1+1,13040,920,727.466356039,noise,42,8
 -1+1-1+1-1+1-1+1-1+1,27714,2162,701.225393057,noise,40,10
 -1+1-1+1-1+1-1+1-1+1,7203,570,371.651921988,noise,27,23
 -1+1-1+1-1+1-1+1-1+1,30430,1984,855.742241859,noise,31,19
 -1+1-1+1-1+1-1+1+1-1,9320,938,613.176640987,noise,33,17
 -1+1-1+1-1+1-1+1-1-1,13230,1298,827.627778053,noise,36,14
 -1+1-1+1-1+1-1+1-1+1,22570,1510,989.289079189,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,494,25,29.2076730728,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,17105,1491,632.805768013,noise,40,10
 -1+1-1+1-1+1-1+1+1+1,841218,25243,1319.74887204,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,386693,12216,653.140921831,noise,36,14
 -1+1-1+1-1+1-1+1-1+1,30717,1616,1766.16322803,noise,39,11
 -1+1-1+1-1+1-1-1+1+1,44876,2220,644.861632824,noise,42,8
 -1+1-1+1-1+1-1+1+1-1,20551,1910,1181.73570514,noise,45,5
 -1+1-1+1-1+1-1+1+1+1,26381,1304,1155.49537992,noise,43,7
 -1+1-1+1-1+1-1+1+1-1,7238,670,205.097738981,noise,32,18
 -1+1-1+1-1+1-1+1-1+1,18790,1535,610.07931304,noise,45,5
 -1+1-1+1-1+1-1+1+1+1,35633,1664,593.215724945,noise,39,11
 -1+1-1+1-1+1-1+1-1+1,30238,1947,606.257929087,noise,45,5
 -1+1-1+1-1+1-1+1-1+1,2938,299,2609.304456,noise,26,24
 -1+1-1+1-1+1-1+1+1+1,44127,2301,928.010037899,noise,46,4
 -1+1-1+1-1+1-1+1+1+1,4299,329,1314.11678982,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,20908,1557,816.47192812,noise,32,18
 -1+1-1+1-1+1-1+1+1+1,1910,176,1272.17152381,noise,43,7
 -1+1-1+1-1+1-1+1-1+1,51394,2339,885.314227104,noise,41,9
 -1+1-1+1-1+1-1-1+1+1,38318,2390,775.775336981,noise,35,15
 -1+1-1+1-1+1-1+1-1+1,27086,2149,607.891738176,noise,38,12
 -1+1-1+1-1+1-1+1-1+1,14928,1374,1079.06912994,noise,35,15
 -1+1-1+1-1+1-1+1+1+1,11330,1168,1112.23940492,noise,30,20
 -1+1-1+1-1+1-1+1-1-1,12993,1177,660.114388943,noise,35,15
 -1+1-1+1-1+1-1+1-1+1,24477,1285,327.845446825,noise,38,12
 -1+1-1+1-1+1-1+1-1+1,32780,2223,703.673691988,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,51264,2298,815.498426914,noise,46,4
 -1+1-1+1-1+1-1+1-1+1,24385,1592,587.001842022,noise,41,9
 -1+1-1+1-1+1-1+1-1-1,13619,1106,786.384361982,noise,33,17
 -1+1-1+1-1+1-1+1+1-1,13714,1221,712.790054083,noise,35,15
 -1+1-1+1-1+1-1+1-1+1,21900,1068,1100.63832188,noise,36,14
 -1+1-1+1-1+1-1-1+1+1,34962,2505,818.681236029,noise,35,15
 -1+1-1+1-1+1-1+1+1-1,32438,2177,897.975991011,noise,32,18
 -1+1-1+1-1+1-1+1-1+1,23949,1770,617.081088066,noise,37,13
 -1+1-1+1-1+1-1+1-1+1,15948,1057,421.538370848,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,9348,503,415.246075153,noise,39,11
 -1+1-1+1-1+1-1+1-1+1,19462,1638,600.046941042,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,35110,2145,604.669116974,noise,41,9
 -1+1-1+1-1+1-1+1+1+1,8819,478,217.250551939,noise,44,6
 -1+1-1+1-1+1-1+1-1+1,20438,1576,597.367443085,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,378037,11371,1031.35288095,noise,39,11
 -1+1-1+1-1+1-1+1-1+1,1766,93,66.7013969421,noise,45,5
 -1+1-1+1-1+1-1+1+1+1,195820,5931,845.258063078,noise,46,4
 -1+1-1+1-1+1-1+1+1+1,7035,788,612.514311075,noise,44,6
 -1+1-1+1-1+1-1+1-1+1,2531,232,639.646682978,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,9797,683,255.071793079,noise,45,5
 -1+1-1+1-1+1-1+1-1+1,5272,324,98.1193289757,noise,41,9
 -1+1-1+1-1+1-1-1+1+1,39134,2585,1807.35075688,noise,23,27
 -1+1-1+1-1+1-1+1-1+1,19575,1581,625.902112961,noise,41,9
 -1+1-1+1-1+1-1+1-1+1,1497,121,172.06595993,noise,37,13
 -1+1-1+1-1+1-1+1-1+1,26095,1861,661.498512983,noise,35,15
 -1+1-1+1-1+1-1+1-1+1,27609,2083,1161.6791122,noise,40,10
